,gameID,gameDate,Team,Opponent,homeRoad,gamesPlayed,Win,Loss,OTLoss,points,pointPct,regulationWins,regulationAndOtWins,shootoutWins,goalsFor,goalsAgainst,goalsForPerGame,goalsAgainstPerGame,powerPlayPct,penaltyKillPct,powerPlayNetPct,penaltyKillNetPct,shotsForPerGame,shotsAgainstPerGame,faceoffWinPct,Year,Month,Season,gameNumber,NonRegulationTime,Result,streak_Win,streak_Loss,rolling_goalsFor,rolling_goalsAgainst,rolling_shotGoalsPct,rolling_savePct,rolling_Win,rolling_Loss,rolling_powerPlayPct,rolling_penaltyKillPct,rolling_Result,rolling_shotsFor,rolling_shotsAgainst,rolling_powerPlayNetPct,rolling_penaltyKillNetPct,rolling_homeWin,rolling_roadWin
15,2019020160,2019-10-25,14,22,1,1,1,0,0,2,1.0,0,0,1,5,5,5.0,5.0,0.0,0.8,-0.5,1.0,29.0,34.0,0.4,2019,10,2019-2020,13,True,1,1,0,4.33,4.0,0.15,0.89,0.67,0.0,0.17,0.85,0.67,29.0,36.33,0.0,0.92,0.67,0.0
16,2019020159,2019-10-25,16,7,0,1,0,1,0,0,0.0,0,0,0,0,2,0.0,2.0,0.0,0.67,0.0,0.67,41.0,25.0,0.62,2019,10,2019-2020,11,False,0,0,1,0.0,2.0,0.0,0.92,0.0,1.0,0.0,0.67,0.0,41.0,25.0,0.0,0.67,0.0,0.0
17,2019020156,2019-10-25,26,10,1,1,0,1,0,0,0.0,0,0,0,1,4,1.0,4.0,0.0,1.0,0.0,1.0,17.0,27.0,0.49,2019,10,2019-2020,11,False,0,0,1,1.0,4.0,0.06,0.85,0.0,1.0,0.0,1.0,0.0,17.0,27.0,0.0,1.0,0.0,0.0
18,2019020155,2019-10-25,31,20,0,1,0,1,0,0,0.0,0,0,0,1,6,1.0,6.0,0.0,0.67,-0.25,0.67,26.0,40.0,0.52,2019,10,2019-2020,12,False,0,0,1,1.0,3.5,0.03,0.91,0.5,0.5,0.0,0.84,0.5,30.0,36.0,-0.12,0.83,0.0,0.0
19,2019020162,2019-10-26,18,6,1,1,0,1,0,0,0.0,0,0,0,0,3,0.0,3.0,0.0,0.75,0.0,0.75,26.0,24.0,0.6,2019,10,2019-2020,11,False,0,0,1,0.0,3.0,0.0,0.88,0.0,1.0,0.0,0.75,0.0,26.0,24.0,0.0,0.75,0.0,0.0
20,2019020163,2019-10-26,8,10,0,1,1,0,0,2,1.0,1,1,0,5,2,5.0,2.0,0.5,1.0,0.5,1.0,38.0,31.0,0.49,2019,10,2019-2020,11,False,1,1,0,5.0,2.0,0.13,0.94,1.0,0.0,0.5,1.0,1.0,38.0,31.0,0.5,1.0,0.0,1.0
21,2019020166,2019-10-26,5,24,1,1,1,0,0,2,1.0,1,1,0,3,0,3.0,0.0,0.0,1.0,0.0,1.0,27.0,25.0,0.44,2019,10,2019-2020,12,False,1,1,0,2.5,1.5,0.08,0.97,0.5,0.5,0.0,0.88,0.5,33.0,36.5,0.0,0.88,0.5,0.0
22,2019020163,2019-10-26,10,8,1,1,0,1,0,0,0.0,0,0,0,2,5,2.0,5.0,0.0,0.5,0.0,0.5,31.0,38.0,0.51,2019,10,2019-2020,13,False,0,0,1,2.67,3.33,0.09,0.9,0.33,0.67,0.08,0.75,0.33,29.33,31.33,0.08,0.75,0.0,0.0
23,2019020161,2019-10-26,11,15,0,1,1,0,0,2,1.0,1,1,0,4,0,4.0,0.0,1.0,1.0,1.0,1.0,31.0,32.0,0.4,2019,10,2019-2020,11,False,1,1,0,4.0,0.0,0.13,1.0,1.0,0.0,1.0,1.0,1.0,31.0,32.0,1.0,1.0,0.0,1.0
24,2019020164,2019-10-26,17,13,1,1,1,0,0,2,1.0,0,1,0,3,2,3.0,2.0,0.4,0.75,0.4,0.75,40.0,30.0,0.46,2019,10,2019-2020,11,False,1,1,0,3.0,2.0,0.08,0.93,1.0,0.0,0.4,0.75,1.0,40.0,30.0,0.4,0.75,1.0,0.0
