gameId,gameDate,teamId,teamFullName,homeRoad,opponentTeamAbbrev,goalsFor,goalsAgainst,goalsForPerGame,goalsAgainstPerGame,shotsForPerGame,shotsAgainstPerGame,penaltyKillPct,penaltyKillNetPct,powerPlayPct,powerPlayNetPct,faceoffWinPct,pointPct,wins,losses,ties,winsInRegulation,winsInShootout,regulationAndOtWins,otLosses,points,gamesPlayed
2017020004,2017-10-04,4,Philadelphia Flyers,R,SJS,5,3,5.0,3.0,31.0,35.0,0.666667,0.666666,0.6,0.6,0.517241,1.0,1,0,,1,0,1,0,2,1
2017020002,2017-10-04,5,Pittsburgh Penguins,H,STL,4,5,4.0,5.0,33.0,34.0,0.75,0.75,0.2,0.2,0.588235,0.5,0,0,,0,0,0,1,1,1
2017020001,2017-10-04,10,Toronto Maple Leafs,R,WPG,7,2,7.0,2.0,31.0,37.0,1.0,1.0,0.5,0.5,0.555555,1.0,1,0,,1,0,1,0,2,1
2017020002,2017-10-04,19,St. Louis Blues,R,PIT,5,4,5.0,4.0,34.0,33.0,0.8,0.8,0.25,0.25,0.411764,1.0,1,0,,0,0,1,0,2,1
2017020003,2017-10-04,20,Calgary Flames,R,EDM,0,3,0.0,3.0,27.0,45.0,1.0,1.0,0.0,0.0,0.460317,0.0,0,1,,0,0,0,0,0,1
2017020003,2017-10-04,22,Edmonton Oilers,H,CGY,3,0,3.0,0.0,45.0,27.0,1.0,1.0,0.0,0.0,0.539682,1.0,1,0,,1,0,1,0,2,1
2017020004,2017-10-04,28,San Jose Sharks,H,PHI,3,5,3.0,5.0,35.0,31.0,0.4,0.4,0.333333,0.333333,0.482758,0.0,0,1,,0,0,0,0,0,1
2017020001,2017-10-04,52,Winnipeg Jets,H,TOR,2,7,2.0,7.0,37.0,31.0,0.5,0.5,0.0,0.0,0.444444,0.0,0,1,,0,0,0,0,0,1
2017020007,2017-10-05,3,New York Rangers,H,COL,2,4,2.0,4.0,39.0,26.0,0.8,0.8,0.333333,0.333333,0.636363,0.0,0,1,,0,0,0,0,0,1
2017020012,2017-10-05,4,Philadelphia Flyers,R,LAK,0,2,0.0,2.0,35.0,27.0,1.0,1.0,0.0,0.0,0.479452,0.0,0,1,,0,0,0,0,0,1
