gameId,gameDate,teamId,teamFullName,homeRoad,opponentTeamAbbrev,goalsFor,goalsAgainst,goalsForPerGame,goalsAgainstPerGame,shotsForPerGame,shotsAgainstPerGame,penaltyKillPct,penaltyKillNetPct,powerPlayPct,powerPlayNetPct,faceoffWinPct,pointPct,wins,losses,ties,winsInRegulation,winsInShootout,regulationAndOtWins,otLosses,points,gamesPlayed
2018020002,2018-10-03,6,Boston Bruins,R,WSH,0,7,0.0,7.0,25.0,37.0,0.333334,0.333333,0.0,0.0,0.683333,0.0,0,1,,0,0,0,0,0,1
2018020001,2018-10-03,8,Montréal Canadiens,R,TOR,2,3,2.0,3.0,36.0,26.0,0.666667,0.666666,0.25,0.25,0.412698,0.5,0,0,,0,0,0,1,1,1
2018020001,2018-10-03,10,Toronto Maple Leafs,H,MTL,3,2,3.0,2.0,26.0,36.0,0.75,0.75,0.333333,0.333333,0.587301,1.0,1,0,,0,0,1,0,2,1
2018020002,2018-10-03,15,Washington Capitals,H,BOS,7,0,7.0,0.0,37.0,25.0,1.0,1.0,0.666666,0.666666,0.316666,1.0,1,0,,1,0,1,0,2,1
2018020003,2018-10-03,20,Calgary Flames,R,VAN,2,5,2.0,5.0,35.0,23.0,1.0,1.0,0.0,0.0,0.576271,0.0,0,1,,0,0,0,0,0,1
2018020003,2018-10-03,23,Vancouver Canucks,H,CGY,5,2,5.0,2.0,23.0,35.0,1.0,1.0,0.0,0.0,0.423728,1.0,1,0,,1,0,1,0,2,1
2018020004,2018-10-03,24,Anaheim Ducks,R,SJS,5,2,5.0,2.0,15.0,33.0,1.0,1.0,0.666666,0.333333,0.483333,1.0,1,0,,1,0,1,0,2,1
2018020004,2018-10-03,28,San Jose Sharks,H,ANA,2,5,2.0,5.0,33.0,15.0,0.333334,0.666666,0.0,0.0,0.516666,0.0,0,1,,0,0,0,0,0,1
2018020008,2018-10-04,2,New York Islanders,R,CAR,2,1,2.0,1.0,20.0,46.0,1.0,1.0,0.333333,0.333333,0.4,1.0,1,0,,0,0,1,0,2,1
2018020006,2018-10-04,3,New York Rangers,H,NSH,2,3,2.0,3.0,36.0,33.0,1.0,1.0,0.0,0.0,0.475409,0.0,0,1,,0,0,0,0,0,1
2018020014,2018-10-04,4,Philadelphia Flyers,R,VGK,5,2,5.0,2.0,25.0,25.0,1.0,1.0,0.25,0.0,0.517857,1.0,1,0,,1,0,1,0,2,1
2018020007,2018-10-04,5,Pittsburgh Penguins,H,WSH,7,6,7.0,6.0,41.0,36.0,1.0,1.0,0.333333,0.333333,0.528571,1.0,1,0,,0,0,1,0,2,1
2018020005,2018-10-04,6,Boston Bruins,R,BUF,4,0,4.0,0.0,26.0,32.0,1.0,1.5,1.0,1.0,0.432835,1.0,1,0,,1,0,1,0,2,1
2018020005,2018-10-04,7,Buffalo Sabres,H,BOS,0,4,0.0,4.0,32.0,26.0,0.0,0.0,0.0,-0.5,0.567164,0.0,0,1,,0,0,0,0,0,1
2018020009,2018-10-04,9,Ottawa Senators,H,CHI,3,4,3.0,4.0,25.0,43.0,1.0,1.0,0.333333,0.333333,0.526315,0.5,0,0,,0,0,0,1,1,1
2018020008,2018-10-04,12,Carolina Hurricanes,H,NYI,1,2,1.0,2.0,46.0,20.0,0.666667,0.666666,0.0,0.0,0.6,0.5,0,0,,0,0,0,1,1,1
2018020007,2018-10-04,15,Washington Capitals,R,PIT,6,7,6.0,7.0,36.0,41.0,0.666667,0.666666,0.0,0.0,0.471428,0.5,0,0,,0,0,0,1,1,1
2018020009,2018-10-04,16,Chicago Blackhawks,R,OTT,4,3,4.0,3.0,43.0,25.0,0.666667,0.666666,0.0,0.0,0.473684,1.0,1,0,,0,0,1,0,2,1
2018020010,2018-10-04,17,Detroit Red Wings,H,CBJ,2,3,2.0,3.0,20.0,39.0,0.833334,0.833333,0.333333,0.333333,0.430379,0.5,0,0,,0,0,0,1,1,1
2018020006,2018-10-04,18,Nashville Predators,R,NYR,3,2,3.0,2.0,33.0,36.0,1.0,1.0,0.0,0.0,0.52459,1.0,1,0,,1,0,1,0,2,1
2018020011,2018-10-04,19,St. Louis Blues,H,WPG,1,5,1.0,5.0,42.0,25.0,0.5,0.5,0.0,-0.25,0.582089,0.0,0,1,,0,0,0,0,0,1
2018020013,2018-10-04,21,Colorado Avalanche,H,MIN,4,1,4.0,1.0,40.0,21.0,1.0,1.0,0.333333,0.333333,0.440677,1.0,1,0,,1,0,1,0,2,1
2018020012,2018-10-04,25,Dallas Stars,H,ARI,3,0,3.0,0.0,25.0,30.0,1.0,1.0,0.0,0.0,0.523076,1.0,1,0,,1,0,1,0,2,1
2018020010,2018-10-04,29,Columbus Blue Jackets,R,DET,3,2,3.0,2.0,39.0,20.0,0.666667,0.666666,0.166666,0.166666,0.56962,1.0,1,0,,0,0,1,0,2,1
2018020013,2018-10-04,30,Minnesota Wild,R,COL,1,4,1.0,4.0,21.0,40.0,0.666667,0.666666,0.0,0.0,0.559322,0.0,0,1,,0,0,0,0,0,1
2018020011,2018-10-04,52,Winnipeg Jets,R,STL,5,1,5.0,1.0,25.0,42.0,1.0,1.25,0.5,0.5,0.41791,1.0,1,0,,1,0,1,0,2,1
2018020012,2018-10-04,53,Arizona Coyotes,R,DAL,0,3,0.0,3.0,30.0,25.0,1.0,1.0,0.0,0.0,0.476923,0.0,0,1,,0,0,0,0,0,1
2018020014,2018-10-04,54,Vegas Golden Knights,H,PHI,2,5,2.0,5.0,25.0,25.0,0.75,1.0,0.0,0.0,0.482142,0.0,0,1,,0,0,0,0,0,1
2018020015,2018-10-05,12,Carolina Hurricanes,R,CBJ,3,1,3.0,1.0,35.0,32.0,1.0,1.0,0.0,0.0,0.46,1.0,1,0,,1,0,1,0,2,1
2018020016,2018-10-05,26,Los Angeles Kings,H,SJS,2,3,2.0,3.0,21.0,33.0,1.0,1.0,0.0,0.0,0.555555,0.5,0,0,,0,0,0,1,1,1
2018020016,2018-10-05,28,San Jose Sharks,R,LAK,3,2,3.0,2.0,33.0,21.0,1.0,1.0,0.0,0.0,0.444444,1.0,1,0,,0,0,1,0,2,1
2018020015,2018-10-05,29,Columbus Blue Jackets,H,CAR,1,3,1.0,3.0,32.0,35.0,1.0,1.0,0.0,0.0,0.54,0.0,0,1,,0,0,0,0,0,1
2018020020,2018-10-06,1,New Jersey Devils,H,EDM,5,2,5.0,2.0,27.0,19.0,0.75,0.75,0.5,0.5,0.492063,1.0,1,0,,1,0,1,0,2,1
2018020021,2018-10-06,2,New York Islanders,H,NSH,3,4,3.0,4.0,29.0,23.0,1.0,1.0,0.25,0.25,0.553571,0.0,0,1,,0,0,0,0,0,1
2018020017,2018-10-06,3,New York Rangers,R,BUF,1,3,1.0,3.0,44.0,29.0,0.5,0.5,0.0,0.0,0.521126,0.0,0,1,,0,0,0,0,0,1
2018020026,2018-10-06,4,Philadelphia Flyers,R,COL,2,5,2.0,5.0,37.0,35.0,0.75,0.75,0.0,0.0,0.508474,0.0,0,1,,0,0,0,0,0,1
2018020022,2018-10-06,5,Pittsburgh Penguins,H,MTL,1,5,1.0,5.0,22.0,29.0,1.0,1.0,0.0,-0.333333,0.603174,0.0,0,1,,0,0,0,0,0,1
2018020017,2018-10-06,7,Buffalo Sabres,H,NYR,3,1,3.0,1.0,29.0,44.0,1.0,1.0,0.5,0.5,0.478873,1.0,1,0,,1,0,1,0,2,1
2018020022,2018-10-06,8,Montréal Canadiens,R,PIT,5,1,5.0,1.0,29.0,22.0,1.0,1.333333,0.0,0.0,0.396825,1.0,1,0,,1,0,1,0,2,1
2018020018,2018-10-06,9,Ottawa Senators,R,TOR,5,3,5.0,3.0,24.0,37.0,0.5,0.5,0.0,0.0,0.49315,1.0,1,0,,1,0,1,0,2,1
2018020018,2018-10-06,10,Toronto Maple Leafs,H,OTT,3,5,3.0,5.0,37.0,24.0,1.0,1.0,0.5,0.5,0.506849,0.0,0,1,,0,0,0,0,0,1
2018020019,2018-10-06,13,Florida Panthers,R,TBL,1,1,1.0,1.0,43.0,29.0,1.0,1.0,0.0,-0.2,0.526315,0.5,0,0,,0,0,0,1,1,1
2018020019,2018-10-06,14,Tampa Bay Lightning,H,FLA,1,1,1.0,1.0,29.0,43.0,1.0,1.2,0.0,0.0,0.473684,1.0,1,0,,0,1,0,0,2,1
2018020024,2018-10-06,16,Chicago Blackhawks,R,STL,5,4,5.0,4.0,30.0,30.0,0.666667,0.666666,0.0,0.0,0.441176,1.0,1,0,,0,0,1,0,2,1
2018020021,2018-10-06,18,Nashville Predators,R,NYI,4,3,4.0,3.0,23.0,29.0,0.75,0.75,0.0,0.0,0.446428,1.0,1,0,,1,0,1,0,2,1
2018020024,2018-10-06,19,St. Louis Blues,H,CHI,4,5,4.0,5.0,30.0,30.0,1.0,1.0,0.333333,0.333333,0.558823,0.5,0,0,,0,0,0,1,1,1
2018020028,2018-10-06,20,Calgary Flames,H,VAN,7,4,7.0,4.0,37.0,20.0,0.666667,0.833333,0.5,0.333333,0.545454,1.0,1,0,,1,0,1,0,2,1
2018020026,2018-10-06,21,Colorado Avalanche,H,PHI,5,2,5.0,2.0,35.0,37.0,1.0,1.0,0.25,0.25,0.491525,1.0,1,0,,1,0,1,0,2,1
2018020020,2018-10-06,22,Edmonton Oilers,R,NJD,2,5,2.0,5.0,19.0,27.0,0.5,0.5,0.25,0.25,0.507936,0.0,0,1,,0,0,0,0,0,1
2018020028,2018-10-06,23,Vancouver Canucks,R,CGY,4,7,4.0,7.0,20.0,37.0,0.5,0.666666,0.333333,0.166666,0.454545,0.0,0,1,,0,0,0,0,0,1
2018020027,2018-10-06,24,Anaheim Ducks,R,ARI,1,0,1.0,0.0,20.0,41.0,1.0,1.0,0.0,0.0,0.45614,1.0,1,0,,1,0,1,0,2,1
2018020023,2018-10-06,25,Dallas Stars,H,WPG,5,1,5.0,1.0,35.0,33.0,1.0,1.0,0.6,0.6,0.623188,1.0,1,0,,1,0,1,0,2,1
2018020025,2018-10-06,30,Minnesota Wild,H,VGK,1,1,1.0,1.0,30.0,42.0,1.0,1.0,0.0,0.0,0.5,0.5,0,0,,0,0,0,1,1,1
2018020023,2018-10-06,52,Winnipeg Jets,R,DAL,1,5,1.0,5.0,33.0,35.0,0.4,0.4,0.0,0.0,0.376811,0.0,0,1,,0,0,0,0,0,1
2018020027,2018-10-06,53,Arizona Coyotes,H,ANA,0,1,0.0,1.0,41.0,20.0,1.0,1.0,0.0,0.0,0.543859,0.0,0,1,,0,0,0,0,0,1
2018020025,2018-10-06,54,Vegas Golden Knights,R,MIN,1,1,1.0,1.0,42.0,30.0,1.0,1.0,0.0,0.0,0.5,1.0,1,0,,0,1,0,0,2,1
2018020029,2018-10-07,3,New York Rangers,R,CAR,5,8,5.0,8.0,24.0,40.0,0.75,0.75,0.25,0.25,0.415384,0.0,0,1,,0,0,0,0,0,1
2018020030,2018-10-07,10,Toronto Maple Leafs,R,CHI,7,6,7.0,6.0,34.0,31.0,1.0,1.0,0.5,0.5,0.5,1.0,1,0,,0,0,1,0,2,1
2018020029,2018-10-07,12,Carolina Hurricanes,H,NYR,8,5,8.0,5.0,40.0,24.0,0.75,0.75,0.25,0.25,0.584615,1.0,1,0,,1,0,1,0,2,1
2018020030,2018-10-07,16,Chicago Blackhawks,H,TOR,6,7,6.0,7.0,31.0,34.0,0.5,0.5,0.0,0.0,0.5,0.5,0,0,,0,0,0,1,1,1
2018020031,2018-10-07,17,Detroit Red Wings,R,LAK,2,4,2.0,4.0,38.0,25.0,1.0,1.0,0.5,0.5,0.493506,0.0,0,1,,0,0,0,0,0,1
2018020031,2018-10-07,26,Los Angeles Kings,H,DET,4,2,4.0,2.0,25.0,38.0,0.5,0.5,0.0,0.0,0.506493,1.0,1,0,,1,0,1,0,2,1
2018020033,2018-10-08,2,New York Islanders,H,SJS,4,0,4.0,0.0,30.0,35.0,1.0,1.25,0.25,0.25,0.385964,1.0,1,0,,1,0,1,0,2,1
2018020032,2018-10-08,6,Boston Bruins,H,OTT,6,3,6.0,3.0,30.0,31.0,1.0,1.0,0.5,0.5,0.428571,1.0,1,0,,1,0,1,0,2,1
2018020034,2018-10-08,7,Buffalo Sabres,H,VGK,4,2,4.0,2.0,17.0,37.0,1.0,1.0,0.5,0.5,0.354166,1.0,1,0,,1,0,1,0,2,1
2018020032,2018-10-08,9,Ottawa Senators,R,BOS,3,6,3.0,6.0,31.0,30.0,0.5,0.5,0.0,0.0,0.571428,0.0,0,1,,0,0,0,0,0,1
2018020035,2018-10-08,17,Detroit Red Wings,R,ANA,2,2,2.0,2.0,21.0,27.0,1.0,1.0,0.0,0.0,0.537313,0.5,0,0,,0,0,0,1,1,1
2018020035,2018-10-08,24,Anaheim Ducks,H,DET,2,2,2.0,2.0,27.0,21.0,1.0,1.0,0.0,0.0,0.462686,1.0,1,0,,0,1,0,0,2,1
2018020033,2018-10-08,28,San Jose Sharks,R,NYI,0,4,0.0,4.0,35.0,30.0,0.75,0.75,0.0,-0.25,0.614035,0.0,0,1,,0,0,0,0,0,1
2018020034,2018-10-08,54,Vegas Golden Knights,R,BUF,2,4,2.0,4.0,37.0,17.0,0.5,0.5,0.0,0.0,0.645833,0.0,0,1,,0,0,0,0,0,1
2018020036,2018-10-09,4,Philadelphia Flyers,H,SJS,2,8,2.0,8.0,33.0,48.0,0.6,0.6,0.333333,0.166666,0.587301,0.0,0,1,,0,0,0,0,0,1
2018020041,2018-10-09,10,Toronto Maple Leafs,R,DAL,7,4,7.0,4.0,30.0,34.0,0.0,0.0,0.666666,0.666666,0.474576,1.0,1,0,,1,0,1,0,2,1
2018020037,2018-10-09,12,Carolina Hurricanes,H,VAN,5,3,5.0,3.0,33.0,25.0,0.5,0.5,0.0,0.0,0.457142,1.0,1,0,,1,0,1,0,2,1
2018020039,2018-10-09,18,Nashville Predators,H,CGY,0,3,0.0,3.0,43.0,27.0,0.5,0.5,0.0,0.0,0.555555,0.0,0,1,,0,0,0,0,0,1
2018020039,2018-10-09,20,Calgary Flames,R,NSH,3,0,3.0,0.0,27.0,43.0,1.0,1.0,0.5,0.5,0.444444,1.0,1,0,,1,0,1,0,2,1
2018020038,2018-10-09,21,Colorado Avalanche,R,CBJ,2,5,2.0,5.0,27.0,35.0,0.833334,0.833333,0.25,0.25,0.469696,0.0,0,1,,0,0,0,0,0,1
2018020037,2018-10-09,23,Vancouver Canucks,R,CAR,3,5,3.0,5.0,25.0,33.0,1.0,1.0,0.5,0.5,0.542857,0.0,0,1,,0,0,0,0,0,1
2018020041,2018-10-09,25,Dallas Stars,H,TOR,4,7,4.0,7.0,34.0,30.0,0.333334,0.333333,1.0,1.0,0.525423,0.0,0,1,,0,0,0,0,0,1
2018020040,2018-10-09,26,Los Angeles Kings,R,WPG,1,2,1.0,2.0,17.0,39.0,0.666667,0.666666,0.0,0.0,0.362068,0.0,0,1,,0,0,0,0,0,1
2018020036,2018-10-09,28,San Jose Sharks,R,PHI,8,2,8.0,2.0,48.0,33.0,0.666667,0.833333,0.4,0.4,0.412698,1.0,1,0,,1,0,1,0,2,1
2018020038,2018-10-09,29,Columbus Blue Jackets,H,COL,5,2,5.0,2.0,35.0,27.0,0.75,0.75,0.166666,0.166666,0.530303,1.0,1,0,,1,0,1,0,2,1
2018020040,2018-10-09,52,Winnipeg Jets,H,LAK,2,1,2.0,1.0,39.0,17.0,1.0,1.0,0.333333,0.333333,0.637931,1.0,1,0,,1,0,1,0,2,1
2018020042,2018-10-10,4,Philadelphia Flyers,R,OTT,7,4,7.0,4.0,45.0,35.0,0.571429,0.571428,0.285714,0.285714,0.520547,1.0,1,0,,1,0,1,0,2,1
2018020042,2018-10-10,9,Ottawa Senators,H,PHI,4,7,4.0,7.0,35.0,45.0,0.714286,0.714285,0.428571,0.428571,0.479452,0.0,0,1,,0,0,0,0,0,1
2018020043,2018-10-10,15,Washington Capitals,H,VGK,5,2,5.0,2.0,29.0,31.0,1.0,1.0,0.5,0.5,0.486486,1.0,1,0,,1,0,1,0,2,1
2018020044,2018-10-10,24,Anaheim Ducks,H,ARI,2,2,2.0,2.0,25.0,39.0,0.666667,0.666666,0.0,-0.333333,0.461538,0.5,0,0,,0,0,0,1,1,1
2018020044,2018-10-10,53,Arizona Coyotes,R,ANA,2,2,2.0,2.0,39.0,25.0,1.0,1.333333,0.333333,0.333333,0.538461,1.0,1,0,,0,1,0,0,2,1
2018020043,2018-10-10,54,Vegas Golden Knights,R,WSH,2,5,2.0,5.0,31.0,29.0,0.5,0.5,0.0,0.0,0.513513,0.0,0,1,,0,0,0,0,0,1
2018020048,2018-10-11,1,New Jersey Devils,H,WSH,6,0,6.0,0.0,36.0,21.0,1.0,1.0,0.25,0.25,0.616666,1.0,1,0,,1,0,1,0,2,1
2018020049,2018-10-11,3,New York Rangers,H,SJS,3,2,3.0,2.0,27.0,43.0,1.0,1.0,0.0,-0.5,0.470588,1.0,1,0,,0,0,1,0,2,1
