gameId,gameDate,teamId,teamFullName,homeRoad,opponentTeamAbbrev,goalsFor,goalsAgainst,goalsForPerGame,goalsAgainstPerGame,shotsForPerGame,shotsAgainstPerGame,penaltyKillPct,penaltyKillNetPct,powerPlayPct,powerPlayNetPct,faceoffWinPct,pointPct,wins,losses,ties,winsInRegulation,winsInShootout,regulationAndOtWins,otLosses,points,gamesPlayed
2013020001,2013-10-01,8,Montréal Canadiens,H,TOR,3,4,3.0,4.0,37.0,38.0,0.857143,0.857142,0.0,-0.25,0.472727,0.0,0,1,,0,0,0,0,0,1
2013020001,2013-10-01,10,Toronto Maple Leafs,R,MTL,4,3,4.0,3.0,38.0,37.0,1.0,1.25,0.142857,0.142857,0.527272,1.0,1,0,,1,0,1,0,2,1
2013020002,2013-10-01,15,Washington Capitals,R,CHI,4,6,4.0,6.0,32.0,34.0,0.75,0.75,0.5,0.5,0.483333,0.0,0,1,,0,0,0,0,0,1
2013020002,2013-10-01,16,Chicago Blackhawks,H,WSH,6,4,6.0,4.0,34.0,32.0,0.5,0.5,0.25,0.25,0.516666,1.0,1,0,,1,0,1,0,2,1
2013020003,2013-10-01,22,Edmonton Oilers,H,WPG,4,5,4.0,5.0,38.0,28.0,0.75,0.75,0.4,0.4,0.546666,0.0,0,1,,0,0,0,0,0,1
2013020003,2013-10-01,52,Winnipeg Jets,R,EDM,5,4,5.0,4.0,28.0,38.0,0.6,0.6,0.25,0.25,0.453333,1.0,1,0,,1,0,1,0,2,1
2013020004,2013-10-02,4,Philadelphia Flyers,H,TOR,1,3,1.0,3.0,32.0,25.0,0.5,0.5,0.142857,0.142857,0.47826,0.0,0,1,,0,0,0,0,0,1
2013020005,2013-10-02,7,Buffalo Sabres,R,DET,1,2,1.0,2.0,20.0,34.0,1.0,1.0,0.0,0.0,0.396551,0.0,0,1,,0,0,0,0,0,1
2013020004,2013-10-02,10,Toronto Maple Leafs,R,PHI,3,1,3.0,1.0,25.0,32.0,0.857143,0.857142,0.5,0.5,0.521739,1.0,1,0,,1,0,1,0,2,1
2013020005,2013-10-02,17,Detroit Red Wings,H,BUF,2,1,2.0,1.0,34.0,20.0,1.0,1.0,0.0,0.0,0.603448,1.0,1,0,,1,0,1,0,2,1
2013020006,2013-10-02,21,Colorado Avalanche,H,ANA,6,1,6.0,1.0,29.0,36.0,1.0,1.0,0.5,0.5,0.421875,1.0,1,0,,1,0,1,0,2,1
2013020006,2013-10-02,24,Anaheim Ducks,R,COL,1,6,1.0,6.0,36.0,29.0,0.5,0.5,0.0,0.0,0.578125,0.0,0,1,,0,0,0,0,0,1
2013020008,2013-10-03,1,New Jersey Devils,R,PIT,0,3,0.0,3.0,27.0,21.0,1.0,1.0,0.0,0.0,0.407407,0.0,0,1,,0,0,0,0,0,1
2013020013,2013-10-03,3,New York Rangers,R,PHX,1,4,1.0,4.0,24.0,32.0,0.666667,0.666666,0.25,0.25,0.458333,0.0,0,1,,0,0,0,0,0,1
2013020008,2013-10-03,5,Pittsburgh Penguins,H,NJD,3,0,3.0,0.0,21.0,27.0,1.0,1.0,0.0,0.0,0.592592,1.0,1,0,,1,0,1,0,2,1
2013020007,2013-10-03,6,Boston Bruins,H,TBL,3,1,3.0,1.0,25.0,33.0,1.0,1.4,0.0,0.0,0.541666,1.0,1,0,,1,0,1,0,2,1
2013020012,2013-10-03,13,Florida Panthers,R,DAL,4,2,4.0,2.0,39.0,27.0,1.0,1.0,0.0,-0.25,0.464788,1.0,1,0,,1,0,1,0,2,1
2013020007,2013-10-03,14,Tampa Bay Lightning,R,BOS,1,3,1.0,3.0,33.0,25.0,1.0,1.0,0.0,-0.4,0.458333,0.0,0,1,,0,0,0,0,0,1
2013020009,2013-10-03,15,Washington Capitals,H,CGY,4,4,4.0,4.0,39.0,39.0,0.8,0.8,0.666666,0.666666,0.613333,1.0,1,0,,0,1,0,0,2,1
2013020010,2013-10-03,18,Nashville Predators,R,STL,2,4,2.0,4.0,30.0,28.0,0.5,0.5,0.0,0.0,0.509433,0.0,0,1,,0,0,0,0,0,1
2013020010,2013-10-03,19,St. Louis Blues,H,NSH,4,2,4.0,2.0,28.0,30.0,1.0,1.0,0.5,0.5,0.490566,1.0,1,0,,1,0,1,0,2,1
2013020009,2013-10-03,20,Calgary Flames,R,WSH,4,4,4.0,4.0,39.0,39.0,0.333334,0.333333,0.2,0.2,0.386666,0.5,0,0,,0,0,0,1,1,1
2013020014,2013-10-03,23,Vancouver Canucks,R,SJS,1,4,1.0,4.0,22.0,35.0,1.0,1.0,0.166666,0.166666,0.522388,0.0,0,1,,0,0,0,0,0,1
2013020012,2013-10-03,25,Dallas Stars,H,FLA,2,4,2.0,4.0,27.0,39.0,1.0,1.25,0.0,0.0,0.535211,0.0,0,1,,0,0,0,0,0,1
2013020011,2013-10-03,26,Los Angeles Kings,R,MIN,2,2,2.0,2.0,18.0,29.0,0.8,0.8,0.333333,0.333333,0.372549,1.0,1,0,,0,1,0,0,2,1
2013020013,2013-10-03,27,Phoenix Coyotes,H,NYR,4,1,4.0,1.0,32.0,24.0,0.75,0.75,0.333333,0.333333,0.541666,1.0,1,0,,1,0,1,0,2,1
2013020014,2013-10-03,28,San Jose Sharks,H,VAN,4,1,4.0,1.0,35.0,22.0,0.833334,0.833333,0.0,0.0,0.477611,1.0,1,0,,1,0,1,0,2,1
2013020011,2013-10-03,30,Minnesota Wild,H,LAK,2,2,2.0,2.0,29.0,18.0,0.666667,0.666666,0.2,0.2,0.62745,0.5,0,0,,0,0,0,1,1,1
2013020016,2013-10-04,1,New Jersey Devils,H,NYI,3,3,3.0,3.0,29.0,26.0,1.0,1.0,0.0,0.0,0.461538,0.5,0,0,,0,0,0,1,1,1
2013020016,2013-10-04,2,New York Islanders,R,NJD,3,3,3.0,3.0,26.0,29.0,1.0,1.0,0.0,0.0,0.538461,1.0,1,0,,0,1,0,0,2,1
2013020015,2013-10-04,7,Buffalo Sabres,H,OTT,0,1,0.0,1.0,35.0,46.0,1.0,1.0,0.0,0.0,0.478873,0.0,0,1,,0,0,0,0,0,1
2013020015,2013-10-04,9,Ottawa Senators,R,BUF,1,0,1.0,0.0,46.0,35.0,1.0,1.0,0.0,0.0,0.521126,1.0,1,0,,1,0,1,0,2,1
2013020017,2013-10-04,12,Carolina Hurricanes,H,DET,2,3,2.0,3.0,25.0,38.0,1.0,1.0,0.333333,0.333333,0.510638,0.5,0,0,,0,0,0,1,1,1
2013020017,2013-10-04,17,Detroit Red Wings,R,CAR,3,2,3.0,2.0,38.0,25.0,0.666667,0.666666,0.0,0.0,0.489361,1.0,1,0,,0,0,1,0,2,1
2013020020,2013-10-04,18,Nashville Predators,R,COL,1,3,1.0,3.0,27.0,36.0,1.0,1.0,0.0,0.0,0.574074,0.0,0,1,,0,0,0,0,0,1
